pu+pr-b,pu pr,,(pu+pr-1b) - (pu pr),,,,,Stokes
Amp,Amp,,,,,,,
-53.75,-53.79,,0.04,,,,,
-53.73,-53.77,,0.04,,,,,
-53.8,-53.79,,-0.01,,,,,
-53.81,-53.73,,-0.08,,,,,
-53.82,-53.8,,-0.02,,,,,
-53.8,-53.81,,0.01,,,,,
-53.79,-53.79,,0,,,,,
-53.76,-53.84,,0.08,,,,,
-53.81,-53.84,,0.03,,,,,
-53.8,-53.82,,0.02,,,,,
-53.81,-53.84,,0.03,,,,,
-53.85,-53.83,,-0.02,,,,,
-53.82,-53.84,,0.02,,,,,
-53.8,-53.85,,0.05,,,,,
-53.77,-53.85,,0.08,,,,,
-53.86,-53.86,,0,,,,,
-53.94,-53.87,,-0.07,,,,,
-53.81,-53.82,,0.01,,,,,
-53.86,-53.84,,-0.02,,,,,
-53.81,-53.87,,0.06,,,,,
-53.82,-53.84,,0.02,,,,,
